abv,name,style,brewery_id,ounces
0.048,Bunker Hill Blueberry Ale ,Other,103,12
0.058,Oberon,American Pale Wheat Ale,76,12
0.06,Smitten,Rye Beer,76,16
0.05,Winter White,Witbier,76,16
0.058,Oberon,American Pale Wheat Ale,76,16
0.07,Two Hearted,American IPA,76,16
0.058,Best Brown,American Brown Ale,76,16
0.044,Moar,English India Pale Ale (IPA),53,12
0.083,Uber Lupin Schwarz IPA,American Double / Imperial IPA,53,16
0.057,Nordic Blonde,American Blonde Ale,53,12
0.06,Cold Press,American Black Ale,75,12
0.072,Harness the Winter,American IPA,75,12
0.056,14° ESB ,Extra Special / Strong Bitter (ESB),75,12
0.062,Bent Hop Golden IPA,American IPA,75,12
0.06,Bent Paddle Black Ale,American Black Ale,75,12
0.05,Venture Pils,German Pilsener,75,12
0.055,Lost Sailor IPA,English India Pale Ale (IPA),278,12
0.053,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12
0.078,La Frontera Premium IPA,American IPA,463,12
0.047,Tejas Lager,Czech Pilsener,463,12
0.064,Number 22 Porter,American Porter,463,12
0.056,Big Bend Hefeweizen,Hefeweizen,463,12
0.06,Terlingua Gold,American Blonde Ale,463,12
0.081,Aprè Shred,American Strong Ale,220,16
0.095,Hemlock Double IPA,American Double / Imperial IPA,220,12
0.041,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220,16
0.067,Disconnected Red,American Amber / Red Ale,220,16
0.07,Big Elm IPA,American IPA,477,12
0.065,Gerry Dog Stout,American Stout,477,12
0.06,413 Farmhouse Ale,Saison / Farmhouse Ale,477,12
0.08,Dark Star,American Stout,8,16
0.062,Ryecoe,American IPA,8,16
0.06,Blueberry Blonde,Fruit / Vegetable Beer,40,12
0.075,Galaxy IPA,American IPA,40,16
0.05,Big River Pilsner,Czech Pilsener,519,12
0.06,House Brand IPA,American IPA,519,12
0.062,Big Sky IPA,American IPA,336,12
0.05,Scape Goat Pale Ale,English Pale Ale,336,12
0.05,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12
0.051,Moose Drool Brown Ale,American Brown Ale,336,12
0.072,Powder Hound Winter Ale,English Strong Ale,336,12
0.051,Moose Drool Brown Ale (2011),American Brown Ale,336,12
0.05,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12
0.062,Big Sky IPA (2012),American IPA,336,12
0.047,Summer Honey,American Blonde Ale,336,12
0.05,Scape Goat Pale Ale (2010),English Pale Ale,336,12
0.05,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12
0.051,Moose Drool Brown Ale (2009),American Brown Ale,336,12
0.069,Arcus IPA,American IPA,221,12
0.058,Wavemaker,American Amber / Red Ale,221,12
0.053,Jack Pine Savage,American Pale Ale (APA),444,16
0.099,Forest Fire Imperial Smoked Rye,Rye Beer,444,16
0.098,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16
0.055,Morning Wood,Oatmeal Stout,444,16
0.066,Bark Bite IPA,American IPA,444,16
0.055,Jalapeno Pale Ale,American Pale Ale (APA),70,16
0.052,Blown Out Brown,American Brown Ale,407,12
0.063,Single Hop Ale,American Pale Ale (APA),407,12
0.054,Sawtooth Ale,American Blonde Ale,407,12
0.072,Saucy Intruder,Rye Beer,18,16
0.045,Deception,American Blonde Ale,112,12
0.075,Blackmarket Rye IPA,American IPA,112,12
0.05,Black Market Hefeweizen,Hefeweizen,112,12
0.058,Aftermath Pale Ale,American Pale Ale (APA),112,12
0.071,American India Red Ale,American Strong Ale,294,12
0.071,American Red Porter,American Porter,294,12
0.078,American Red Saison,Saison / Farmhouse Ale,294,12
0.066,Colorado Red Ale,American Amber / Red Ale,294,12
0.048,Saddle Bronc Brown Ale,American Brown Ale,79,12
